LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId
OK,Oklahoma,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,50502883,$,Dollars,"(35.472031356, -97.521070214)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ND,North Dakota,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,20034034,$,Dollars,"(47.475319779, -100.118421049)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DE,Delaware,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,12472294,$,Dollars,"(39.008830667, -75.577741168)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AZ,Arizona,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,160155700,$,Dollars,"(34.86597028, -111.763811277)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,223492940,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
GA,Georgia,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,88830820,$,Dollars,"(32.839681093, -83.627580346)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
VT,Vermont,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,60814883,$,Dollars,"(43.625381239, -72.517640791)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DE,Delaware,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,12261000,$,Dollars,"(39.008830667, -75.577741168)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ID,Idaho,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,37394232,$,Dollars,"(43.682630005, -114.363730042)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MN,Minnesota,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,382044989,$,Dollars,"(46.355648736, -94.794200503)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AR,Arkansas,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,173931263,$,Dollars,"(34.748650124, -92.274490743)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DE,Delaware,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,21475896,$,Dollars,"(39.008830667, -75.577741168)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IA,Iowa,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,94166860,$,Dollars,"(42.469400913, -93.816490556)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
KS,Kansas,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,93306900,$,Dollars,"(38.3477403, -98.200781227)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SC,South Carolina,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,151957884,$,Dollars,"(33.998821303, -81.045371207)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
VT,Vermont,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,67896109,$,Dollars,"(43.625381239, -72.517640791)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SC,South Carolina,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,27996316,$,Dollars,"(33.998821303, -81.045371207)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OH,Ohio,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,818437395,$,Dollars,"(40.060210141, -82.404260056)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DE,Delaware,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,12441583,$,Dollars,"(39.008830667, -75.577741168)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NH,New Hampshire,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,26583000,$,Dollars,"(43.655950113, -71.50036092)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WA,Washington,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,425194827,$,Dollars,"(47.522278629, -120.47001079)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
KS,Kansas,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,97502160,$,Dollars,"(38.3477403, -98.200781227)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MA,Massachusetts,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,148438000,$,Dollars,"(42.27687047, -72.082690675)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MS,Mississippi,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,34308215,$,Dollars,"(32.745510099, -89.538030825)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ID,Idaho,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,14427399,$,Dollars,"(43.682630005, -114.363730042)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OR,Oregon,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,81759720,$,Dollars,"(44.567449424, -120.155031326)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SD,South Dakota,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,15673000,$,Dollars,"(44.353130053, -100.373530637)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NE,Nebraska,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,23744000,$,Dollars,"(41.641040988001, -99.365720623)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
HI,Hawaii,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,6406178,$,Dollars,"(21.304850435, -157.857749403)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OH,Ohio,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,188898000,$,Dollars,"(40.060210141, -82.404260056)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,131009400,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MT,Montana,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,77265829,$,Dollars,"(47.066528972, -109.424420645)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NM,New Mexico,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,92328577,$,Dollars,"(34.520880952, -106.240580985)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AZ,Arizona,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,40210749,$,Dollars,"(34.86597028, -111.763811277)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CT,Connecticut,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,279555397,$,Dollars,"(41.56266102, -72.649840952)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NE,Nebraska,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,30639000,$,Dollars,"(41.641040988001, -99.365720623)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
VA,Virginia,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,159945000,$,Dollars,"(37.542680674, -78.457890463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CA,California,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,845928927,$,Dollars,"(37.638640123, -120.999999538)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MN,Minnesota,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,85266384,$,Dollars,"(46.355648736, -94.794200503)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CO,Colorado,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,58654419,$,Dollars,"(38.843840757, -106.133610921)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,61526377,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
KS,Kansas,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,125124787,$,Dollars,"(38.3477403, -98.200781227)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
PA,Pennsylvania,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,259213000,$,Dollars,"(40.793730152, -77.860700294)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WV,West Virginia,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,107151660,$,Dollars,"(38.665510202, -80.712640135)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SC,South Carolina,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,28077000,$,Dollars,"(33.998821303, -81.045371207)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NV,Nevada,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,105544640,$,Dollars,"(39.49324039, -117.071840564)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OH,Ohio,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,855091219,$,Dollars,"(40.060210141, -82.404260056)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WA,Washington,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,95849952,$,Dollars,"(47.522278629, -120.47001079)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DE,Delaware,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,112948060,$,Dollars,"(39.008830667, -75.577741168)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AR,Arkansas,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,199654545,$,Dollars,"(34.748650124, -92.274490743)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CO,Colorado,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,174467790,$,Dollars,"(38.843840757, -106.133610921)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
GA,Georgia,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,231565881,$,Dollars,"(32.839681093, -83.627580346)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NE,Nebraska,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,44993900,$,Dollars,"(41.641040988001, -99.365720623)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MO,Missouri,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,84847006,$,Dollars,"(38.635790776, -92.566300053)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
UT,Utah,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,25812927,$,Dollars,"(39.360700171, -111.587130635)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NH,New Hampshire,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,23476872,$,Dollars,"(43.655950113, -71.50036092)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
VA,Virginia,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,165112900,$,Dollars,"(37.542680674, -78.457890463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
TN,Tennessee,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,76741643,$,Dollars,"(35.68094058, -85.774490914)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
VA,Virginia,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,18031000,$,Dollars,"(37.542680674, -78.457890463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IA,Iowa,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,220212197,$,Dollars,"(42.469400913, -93.816490556)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OH,Ohio,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,294211398,$,Dollars,"(40.060210141, -82.404260056)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,87348058,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IA,Iowa,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,84199981,$,Dollars,"(42.469400913, -93.816490556)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IL,Illinois,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,471550800,$,Dollars,"(40.485010283, -88.997710178)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CT,Connecticut,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,123618156,$,Dollars,"(41.56266102, -72.649840952)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NY,New York,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,1326507365,$,Dollars,"(42.827001032, -75.543970427)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ME,Maine,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,25000000,$,Dollars,"(45.254228894001, -68.985031336)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SC,South Carolina,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,154924581,$,Dollars,"(33.998821303, -81.045371207)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WY,Wyoming,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,5205000,$,Dollars,"(43.235541343, -108.109830353)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NJ,New Jersey,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,218338000,$,Dollars,"(40.130570048, -74.273691288)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
KS,Kansas,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,55637270,$,Dollars,"(38.3477403, -98.200781227)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NE,Nebraska,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,38832035,$,Dollars,"(41.641040988001, -99.365720623)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CO,Colorado,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,59892549,$,Dollars,"(38.843840757, -106.133610921)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NV,Nevada,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,131803093,$,Dollars,"(39.49324039, -117.071840564)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SD,South Dakota,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,11381000,$,Dollars,"(44.353130053, -100.373530637)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NC,North Carolina,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,22708000,$,Dollars,"(35.466220975, -79.159250463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WI,Wisconsin,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,128653014,$,Dollars,"(44.393191174, -89.816370742)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OH,Ohio,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,930666000,$,Dollars,"(40.060210141, -82.404260056)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CO,Colorado,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,13967000,$,Dollars,"(38.843840757, -106.133610921)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OK,Oklahoma,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,79679720,$,Dollars,"(35.472031356, -97.521070214)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DE,Delaware,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,72607229,$,Dollars,"(39.008830667, -75.577741168)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NV,Nevada,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,130839518,$,Dollars,"(39.49324039, -117.071840564)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SC,South Carolina,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,28389033,$,Dollars,"(33.998821303, -81.045371207)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MS,Mississippi,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,129738515,$,Dollars,"(32.745510099, -89.538030825)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
TN,Tennessee,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,78010310,$,Dollars,"(35.68094058, -85.774490914)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DE,Delaware,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,12206000,$,Dollars,"(39.008830667, -75.577741168)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NM,New Mexico,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,22610771,$,Dollars,"(34.520880952, -106.240580985)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,84505838,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OH,Ohio,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,127544000,$,Dollars,"(40.060210141, -82.404260056)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NC,North Carolina,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,245944066,$,Dollars,"(35.466220975, -79.159250463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SC,South Carolina,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,25843905,$,Dollars,"(33.998821303, -81.045371207)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WI,Wisconsin,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,110331468,$,Dollars,"(44.393191174, -89.816370742)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OR,Oregon,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,78590210,$,Dollars,"(44.567449424, -120.155031326)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WY,Wyoming,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,24459794,$,Dollars,"(43.235541343, -108.109830353)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ID,Idaho,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,24946162,$,Dollars,"(43.682630005, -114.363730042)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AL,Alabama,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,51516608,$,Dollars,"(32.840571122, -86.631860762)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CO,Colorado,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,32710000,$,Dollars,"(38.843840757, -106.133610921)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OK,Oklahoma,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,63695786,$,Dollars,"(35.472031356, -97.521070214)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CT,Connecticut,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,70720000,$,Dollars,"(41.56266102, -72.649840952)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ND,North Dakota,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,22408447,$,Dollars,"(47.475319779, -100.118421049)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NC,North Carolina,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,17760000,$,Dollars,"(35.466220975, -79.159250463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MD,Maryland,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,68942000,$,Dollars,"(39.290580964, -76.609260111)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,123468732,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IL,Illinois,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,182296000,$,Dollars,"(40.485010283, -88.997710178)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NE,Nebraska,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,56137920,$,Dollars,"(41.641040988001, -99.365720623)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ID,Idaho,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,25459256,$,Dollars,"(43.682630005, -114.363730042)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IL,Illinois,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,201810000,$,Dollars,"(40.485010283, -88.997710178)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MT,Montana,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,16740385,$,Dollars,"(47.066528972, -109.424420645)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MT,Montana,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,11649438,$,Dollars,"(47.066528972, -109.424420645)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WI,Wisconsin,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,300944734,$,Dollars,"(44.393191174, -89.816370742)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,92298895,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
GA,Georgia,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,86120722,$,Dollars,"(32.839681093, -83.627580346)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MO,Missouri,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,112491631,$,Dollars,"(38.635790776, -92.566300053)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AK,Alaska,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,43091506,$,Dollars,"(64.845079957001, -147.722059036)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
TN,Tennessee,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,66254203,$,Dollars,"(35.68094058, -85.774490914)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WI,Wisconsin,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,81904000,$,Dollars,"(44.393191174, -89.816370742)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IN,Indiana,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,371597683,$,Dollars,"(39.766910452, -86.149960194)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
VA,Virginia,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,18736000,$,Dollars,"(37.542680674, -78.457890463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MS,Mississippi,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,29870336,$,Dollars,"(32.745510099, -89.538030825)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CA,California,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,1120194150,$,Dollars,"(37.638640123, -120.999999538)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,50729579,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DC,District of Columbia,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,6532000,$,Dollars,"(38.890371385, -77.031961127)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MN,Minnesota,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,169427723,$,Dollars,"(46.355648736, -94.794200503)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NC,North Carolina,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,21060000,$,Dollars,"(35.466220975, -79.159250463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
VT,Vermont,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,25084291,$,Dollars,"(43.625381239, -72.517640791)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OR,Oregon,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,201840986,$,Dollars,"(44.567449424, -120.155031326)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DC,District of Columbia,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,16465000,$,Dollars,"(38.890371385, -77.031961127)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SD,South Dakota,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,14527000,$,Dollars,"(44.353130053, -100.373530637)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MD,Maryland,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,38263000,$,Dollars,"(39.290580964, -76.609260111)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NH,New Hampshire,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,23912882,$,Dollars,"(43.655950113, -71.50036092)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IA,Iowa,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,44851832,$,Dollars,"(42.469400913, -93.816490556)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
